MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
citizen kane,orson welles,"joseph cotten,orson welles","agnes moorehead,dorothy comingore,erskine sanford,everett sloane,fortunio bonanova,george coulouris,georgia backus,gus schilling,harry shannon,paul stewart,philip van zandt,ray collins,ruth warrick,william alland"
the godfather,francis ford coppola,"al pacino,marlon brando","abe vigoda,al lettieri,diane keaton,gianni russo,james caan,john cazale,john marley,richard conte,richard s. castellano,robert duvall,rudy bond,sterling hayden,talia shire"
rear window,alfred hitchcock,"frank cady,georgine darcy,grace kelly,james stewart,judith evelyn,raymond burr,ross bagdasarian,sara berner,thelma ritter,wendell corey","havis davenport,irene winston,jerry antes,jesslyn fax,rand harper"
casablanca,michael curtiz,"humphrey bogart,ingrid bergman","claude rains,conrad veidt,curt bois,dooley wilson,enrique acosta,john qualen,joy page,leonid kinskey,madeleine lebeau,paul henreid,peter lorre,s.z. sakall,sydney greenstreet"
boyhood,richard linklater,"bonnie cross,elijah smith,ellar coltrane,ethan hawke,libby villari,lorelei linklater,marco perella,patricia arquette,steven chester prince","alyssa petersen,andrea chen,andrew villarreal,angela rawna,bonnie cross,brad hawkins,cassidy johnson,david blackwell,deanna brochin,derek chase hickey,elijah smith,ethan hawke,evie thompson,greg baglia,jamie howard,jonathan bell,jordan howard,libby villari,lorelei linklater,marco perella,mark finn,megan devine,mona lee fultz,natalie wilemon,nick krause,patricia arquette,ryan power,sam dillon,savannah welch,shane graham,sharee fowler,steven chester prince,sydney orta,tamara jolaine,tess allen,zoe graham"
three colors: red,krzysztof kieslowski,"irène jacob,jean-louis trintignant","bernard escalon,brigitte raul,elzbieta jasinska,frédérique feder,jean schlegel,jean-marie daunas,jean-pierre lorit,leo ramseyer,marion stalens,paul vermeulen,roland carey,samuel le bihan,teco celio"
vertigo,alfred hitchcock,"barbara bel geddes,david ahdar,ellen corby,henry jones,james stewart,kim novak,konstantin shayne,lee patrick,raymond bailey,tom helmore","danny borzage,isabel analla,jack ano,john benson,margaret bacon"
notorious,alfred hitchcock,"alexis minotis,cary grant,claude rains,ingrid bergman,ivan triesault,leopoldine konstantin,louis calhern,moroni olsen,reinhold schünzel,wally brown","bernice barrett,charles mendl,e.a. krumschmidt,fay baker,ricardo costa"
singin' in the rain,"gene kelly,stanley donen","cyd charisse,dawn addams,debbie reynolds,donald o'connor,douglas fowley,gene kelly,jean hagen,john albright,millard mitchell,rita moreno","bette arlen,betty allen,jimmy bates,marie ardell,sue allen"
city lights,charles chaplin,"charles chaplin,virginia cherrill","al ernest garcia,albert austin,betty blair,buster brodie,eddie baker,florence lee,hank mann,harry ayers,harry myers,henry bergman,jack alexander,t.s. alexander,victor alexander"
